idcuenta,idcliente,empresa,oficina,digcontrol,contrato,situacion,fecha_alta,fecha_baja,iban_total
324,324,6969,1692,946,502565333,A,2012-09-18,9999-12-31,ES8769691692946502565333
325,325,3981,5282,910,433736865,A,2013-04-25,9999-12-31,ES3239815282910433736865
326,326,5392,2977,871,322155739,B,2006-07-01,2006-08-30,ES5853922977871322155739
327,327,1331,5755,705,439411483,A,2009-02-26,9999-12-31,ES5713315755705439411483
328,328,8391,4585,070,918873258,A,2003-07-10,9999-12-31,ES8583914585070918873258
329,329,9801,6562,364,215713966,B,2009-07-06,2012-11-15,ES5098016562364215713966
330,330,3324,7635,947,570162184,B,2006-10-29,2013-03-01,ES6733247635947570162184
331,331,4266,4677,662,770584933,A,2005-08-16,9999-12-31,ES6542664677662770584933
332,332,5172,4635,218,042559480,A,2010-06-18,9999-12-31,ES7751724635218042559480
333,333,8668,6757,609,051114957,B,2017-05-01,2021-01-17,ES9286686757609051114957
334,334,2917,1518,216,020725454,A,2016-11-06,9999-12-31,ES2229171518216020725454
335,335,3446,3213,662,551914718,A,2015-01-14,9999-12-31,ES3234463213662551914718
336,336,6464,1419,741,095487956,B,2009-05-14,2016-02-17,ES3564641419741095487956
337,337,8274,8582,914,292875874,A,2006-12-24,9999-12-31,ES6382748582914292875874
338,338,5718,8841,644,115303315,A,2021-06-19,9999-12-31,ES3557188841644115303315
339,339,9251,9361,612,318167112,B,2021-09-14,2022-05-30,ES0692519361612318167112
340,340,8480,5368,903,635332065,B,2009-10-06,2019-11-26,ES2984805368903635332065
341,341,2198,7313,426,986641270,B,2011-10-12,2018-12-06,ES7521987313426986641270
342,342,0709,2165,774,480167274,B,2005-03-04,2013-04-18,ES3607092165774480167274
343,343,5127,2512,335,861523801,B,2004-12-15,2015-08-05,ES1251272512335861523801
344,344,8952,6262,937,437624239,B,2001-05-20,2020-03-31,ES8689526262937437624239
345,345,1870,3432,038,015727326,B,2008-01-30,2020-05-01,ES9818703432038015727326
346,346,4701,1916,098,800178281,A,2018-03-31,9999-12-31,ES8047011916098800178281
347,347,1887,4947,530,528761689,B,2013-02-26,2022-07-05,ES9118874947530528761689
348,348,4519,8523,421,352976407,A,2008-04-10,9999-12-31,ES9145198523421352976407
349,349,2821,1339,474,193917157,A,2002-12-29,9999-12-31,ES6928211339474193917157
350,350,6503,4106,070,182541384,A,2002-12-22,9999-12-31,ES6365034106070182541384
351,351,6089,6554,580,217010776,B,2019-03-04,2021-09-09,ES6060896554580217010776
352,352,2828,8730,302,678543027,A,2015-01-13,9999-12-31,ES5328288730302678543027
353,353,6309,4081,958,983110876,B,2009-06-18,2010-03-12,ES8463094081958983110876
354,354,1262,1246,014,747397263,B,2013-08-07,2018-06-18,ES4312621246014747397263
355,355,8452,3415,896,906233631,B,2011-03-30,2020-02-15,ES1584523415896906233631
356,356,4334,1120,011,032099837,B,2017-11-14,2018-08-04,ES9043341120011032099837
357,357,6265,0079,484,425062211,B,2017-10-09,2019-01-28,ES5862650079484425062211
358,358,2802,8375,695,088051503,A,2002-06-27,9999-12-31,ES7128028375695088051503
359,359,4659,3375,643,287091018,A,2007-03-29,9999-12-31,ES2746593375643287091018
360,360,1326,2253,978,961618284,B,2001-08-26,2003-03-03,ES1613262253978961618284
361,361,1503,9329,926,191991027,B,2007-04-29,2014-10-18,ES9315039329926191991027
362,362,7747,8310,913,538223193,A,2001-03-15,9999-12-31,ES7777478310913538223193
363,363,8642,1544,045,736866173,A,2002-09-19,9999-12-31,ES8886421544045736866173
364,364,8245,3947,880,117729430,B,2007-05-04,2012-04-29,ES5882453947880117729430
365,365,0257,5545,306,301346583,B,2004-05-18,2009-05-23,ES2502575545306301346583
366,366,3500,5482,957,768936387,B,2007-11-07,2017-11-20,ES2535005482957768936387
367,367,3684,6503,031,117501248,B,2012-05-16,2021-10-22,ES3536846503031117501248
368,368,7908,7836,489,467114421,A,2002-07-07,9999-12-31,ES2479087836489467114421
369,369,9715,7968,977,332635451,A,2007-03-15,9999-12-31,ES6297157968977332635451
370,370,5073,4522,406,787389280,A,2002-11-02,9999-12-31,ES9850734522406787389280
371,371,4800,5731,042,417564437,A,2002-09-25,9999-12-31,ES6148005731042417564437
372,372,1793,8148,765,065106051,A,2010-10-16,9999-12-31,ES9517938148765065106051
373,373,9488,7864,173,641307922,A,2001-05-30,9999-12-31,ES1494887864173641307922
374,374,2217,6714,813,574025089,B,2016-07-20,2020-03-24,ES5922176714813574025089
375,375,9054,6014,659,712108102,A,2005-02-06,9999-12-31,ES3590546014659712108102
376,376,2156,4059,871,089788352,B,2011-05-27,2014-02-11,ES7821564059871089788352
377,377,2582,3927,073,747939102,B,2003-05-10,2014-09-08,ES7925823927073747939102
378,378,3746,6408,475,100512293,A,2012-02-08,9999-12-31,ES9237466408475100512293
379,379,9367,3527,330,768014787,B,2005-10-21,2008-07-26,ES6093673527330768014787
380,380,2139,0008,203,072257502,A,2017-09-29,9999-12-31,ES1121390008203072257502
381,381,7172,4173,849,614414929,A,2006-07-02,9999-12-31,ES4871724173849614414929
382,382,0924,7435,432,747784636,B,2020-09-10,2022-06-08,ES5809247435432747784636
383,383,1702,4999,717,114977062,B,2021-04-08,2022-03-15,ES3617024999717114977062
384,384,9839,9982,741,551382187,B,2007-01-19,2011-09-08,ES5398399982741551382187
385,385,0816,5434,558,183964395,B,2011-07-29,2020-03-24,ES6408165434558183964395
386,386,4275,0342,983,720575443,B,2020-09-29,2021-09-18,ES2242750342983720575443
387,387,7575,0399,814,534749339,B,2017-10-02,2020-07-01,ES6375750399814534749339
388,388,4154,9782,683,615970592,B,2010-02-20,2011-08-13,ES3341549782683615970592
389,389,5358,4668,130,100594159,A,2006-03-12,9999-12-31,ES5753584668130100594159
390,390,8311,3995,249,572490635,A,2022-03-10,9999-12-31,ES4483113995249572490635
391,391,6710,9411,073,189404349,A,2015-04-02,9999-12-31,ES5767109411073189404349
392,392,4566,8643,234,189814271,A,2022-03-20,9999-12-31,ES1345668643234189814271
393,393,8649,4837,564,313118874,A,2002-07-22,9999-12-31,ES0286494837564313118874
394,394,4263,4795,401,847375669,B,2006-03-09,2016-12-03,ES3042634795401847375669
395,395,6935,2312,649,041723977,B,2016-02-18,2020-02-23,ES5569352312649041723977
396,396,7760,2973,301,407389012,A,2010-04-21,9999-12-31,ES8977602973301407389012
397,397,8344,1987,865,837022018,B,2012-08-18,2018-09-14,ES7383441987865837022018
398,398,1127,0463,640,277412463,B,2020-02-11,2022-02-10,ES5711270463640277412463
399,399,2978,5541,019,089321623,A,2017-05-05,9999-12-31,ES6729785541019089321623
400,400,5630,2898,111,319202587,B,2010-08-02,2012-01-18,ES6856302898111319202587
401,401,1307,1867,189,390362279,A,2009-02-12,9999-12-31,ES6913071867189390362279
402,402,6602,4978,156,763331565,B,2007-06-02,2018-01-17,ES8766024978156763331565
403,403,1451,2473,464,377433323,A,2007-06-24,9999-12-31,ES5514512473464377433323
404,404,5004,7789,800,447472012,B,2016-08-11,2017-10-22,ES2150047789800447472012
405,405,6263,6226,296,979197880,B,2013-11-25,2020-09-09,ES1962636226296979197880
406,406,7295,1416,640,458796911,B,2019-03-13,2020-10-20,ES8772951416640458796911
407,407,2372,2064,941,161181498,A,2011-04-05,9999-12-31,ES1323722064941161181498
408,408,2413,3654,841,853917931,B,2005-07-04,2011-03-04,ES8624133654841853917931
409,409,4779,1090,271,838732788,A,2004-04-18,9999-12-31,ES4347791090271838732788
410,410,5982,4980,041,249666477,B,2001-12-26,2002-10-24,ES2259824980041249666477
411,411,1111,3669,129,287657893,A,2002-06-25,9999-12-31,ES4511113669129287657893
412,412,8826,6088,893,455457514,B,2005-02-21,2008-08-31,ES1388266088893455457514
413,413,8754,4499,195,351744602,A,2013-12-22,9999-12-31,ES9487544499195351744602
414,414,8053,8854,146,000824981,B,2021-05-16,2022-07-01,ES9180538854146000824981
415,415,3348,5810,429,305749689,B,2015-07-13,2016-04-26,ES5633485810429305749689
416,416,4187,0046,602,559202594,B,2009-10-21,2013-02-09,ES9241870046602559202594
417,417,0465,1682,510,739668032,A,2004-06-16,9999-12-31,ES1404651682510739668032
418,418,2703,7991,553,847174239,B,2007-11-17,2019-10-12,ES5727037991553847174239
419,419,1277,8734,819,783338308,A,2004-01-03,9999-12-31,ES2812778734819783338308
420,420,7039,9864,612,312784200,A,2010-08-11,9999-12-31,ES9570399864612312784200
421,421,3330,5371,078,314116809,B,2005-02-04,2014-02-28,ES6633305371078314116809
422,422,7295,4713,168,054161524,B,2009-02-12,2010-07-30,ES3272954713168054161524
423,423,9308,5488,753,140586203,A,2013-06-01,9999-12-31,ES0993085488753140586203
424,424,9328,0695,854,923722293,A,2003-08-05,9999-12-31,ES4493280695854923722293
425,425,8698,3521,532,962009116,A,2013-03-31,9999-12-31,ES3586983521532962009116
426,426,9834,2380,824,410647123,A,2004-04-25,9999-12-31,ES9498342380824410647123
427,427,3826,4972,566,160548795,A,2013-03-05,9999-12-31,ES3938264972566160548795
428,428,5023,8221,576,421481994,B,2008-04-11,2015-08-07,ES7550238221576421481994
429,429,1654,5682,793,322532515,A,2014-07-31,9999-12-31,ES4716545682793322532515
430,430,5722,9614,455,680333231,A,2004-09-14,9999-12-31,ES3857229614455680333231
431,431,4133,4080,191,783876613,B,2010-04-02,2017-01-28,ES2341334080191783876613
432,432,5311,4372,404,570738166,B,2019-08-27,2022-05-29,ES4753114372404570738166
433,433,0573,0653,290,195913031,A,2015-03-03,9999-12-31,ES3105730653290195913031
434,434,2233,8323,262,831659996,B,2004-06-02,2009-11-15,ES6222338323262831659996
435,435,1890,8991,557,250369743,A,2016-01-22,9999-12-31,ES8118908991557250369743
436,436,0709,9648,635,875606396,B,2005-11-21,2021-09-05,ES5507099648635875606396
437,437,7343,6138,097,597872437,A,2013-07-14,9999-12-31,ES5173436138097597872437
438,438,4778,5650,967,262279668,B,2009-07-27,2016-01-01,ES9647785650967262279668
439,439,8077,3792,052,765868516,A,2010-06-09,9999-12-31,ES5480773792052765868516
440,440,8283,3885,302,780803220,A,2016-03-11,9999-12-31,ES5882833885302780803220
441,441,8627,1641,591,543380199,B,2001-04-30,2005-08-20,ES0786271641591543380199
442,442,2814,1709,023,213151215,B,2013-03-07,2019-12-05,ES2928141709023213151215
443,443,9542,9326,063,287435494,A,2016-11-24,9999-12-31,ES5695429326063287435494
444,444,3501,7397,361,099260385,A,2019-07-22,9999-12-31,ES7635017397361099260385
445,445,3458,4256,250,449090120,B,2010-11-17,2015-05-24,ES2434584256250449090120
446,446,9273,4548,257,464458667,B,2005-01-25,2019-04-08,ES3892734548257464458667
447,447,1003,0390,366,326744814,B,2010-02-12,2011-03-26,ES3010030390366326744814
448,448,3864,9283,147,120045740,A,2005-03-31,9999-12-31,ES7538649283147120045740
449,449,3715,7722,044,306460429,B,2010-04-21,2010-12-28,ES4337157722044306460429
450,450,4009,3164,087,399958745,A,2009-10-02,9999-12-31,ES3440093164087399958745
451,451,5676,6252,817,318963029,B,2016-07-16,2018-01-08,ES0356766252817318963029
452,452,7545,8194,780,408136665,B,2012-11-24,2016-01-06,ES1175458194780408136665
453,453,4613,1955,430,246211947,A,2004-06-21,9999-12-31,ES3146131955430246211947
454,454,4388,8933,330,084068212,A,2003-10-30,9999-12-31,ES4143888933330084068212
455,455,6658,6650,436,654010703,A,2012-10-02,9999-12-31,ES7366586650436654010703
456,456,4880,8390,500,783820355,A,2009-06-01,9999-12-31,ES2648808390500783820355
457,457,9673,5829,560,632644632,A,2021-10-27,9999-12-31,ES3296735829560632644632
458,458,1249,4045,398,427209798,B,2016-02-16,2022-01-18,ES4112494045398427209798
459,459,7414,3280,677,708145084,B,2001-07-07,2006-09-03,ES3074143280677708145084
460,460,3658,3845,504,931784116,B,2013-08-09,2013-09-27,ES3636583845504931784116
461,461,0904,9412,564,058543734,A,2003-12-20,9999-12-31,ES8909049412564058543734
462,462,6851,6520,240,043798914,A,2013-07-06,9999-12-31,ES2268516520240043798914
463,463,1442,1645,376,961332804,A,2006-11-08,9999-12-31,ES8814421645376961332804
464,464,7047,2780,333,541400884,B,2010-09-03,2015-07-26,ES2670472780333541400884
465,465,8260,6871,888,461276399,B,2013-11-06,2018-05-27,ES2682606871888461276399
466,466,8710,6925,391,132030710,A,2012-05-12,9999-12-31,ES5487106925391132030710
467,467,1998,7274,052,097417064,A,2004-04-18,9999-12-31,ES6919987274052097417064
468,468,1487,3292,707,716880961,A,2019-10-14,9999-12-31,ES0914873292707716880961
469,469,0089,0811,090,973367950,A,2007-07-24,9999-12-31,ES4100890811090973367950
470,470,1641,1111,693,313802135,B,2010-04-02,2016-12-09,ES9816411111693313802135
471,471,7492,8803,419,776720172,A,2019-11-12,9999-12-31,ES3074928803419776720172
472,472,5116,5217,223,202509217,A,2003-03-28,9999-12-31,ES1651165217223202509217
473,473,4296,0260,068,927063049,B,2011-08-01,2016-08-05,ES9442960260068927063049
474,474,6233,4778,805,732279567,A,2012-08-06,9999-12-31,ES0762334778805732279567
475,475,7870,9288,415,772071637,B,2016-07-27,2019-10-11,ES8378709288415772071637
476,476,8157,9977,830,841497828,B,2010-02-28,2012-07-28,ES1381579977830841497828
477,477,8414,0833,572,165359442,A,2008-11-28,9999-12-31,ES6984140833572165359442
478,478,1666,1027,924,466809788,A,2004-08-23,9999-12-31,ES3816661027924466809788
479,479,9246,0583,183,716954776,B,2010-12-21,2017-11-21,ES5692460583183716954776
480,480,3074,4695,274,806029662,B,2004-09-02,2017-11-10,ES7630744695274806029662
481,481,6928,1982,266,040321828,B,2014-07-13,2017-10-14,ES7169281982266040321828
482,482,6930,4684,464,405035513,A,2020-02-25,9999-12-31,ES9669304684464405035513
483,483,7506,6983,086,469464652,A,2018-07-02,9999-12-31,ES4475066983086469464652
484,484,2001,3464,104,906265962,B,2006-08-26,2007-03-29,ES8720013464104906265962
485,485,2575,1856,472,474062061,A,2020-10-14,9999-12-31,ES2425751856472474062061
486,486,8792,4037,497,713219942,A,2012-09-30,9999-12-31,ES7387924037497713219942
487,487,8186,2429,806,279266449,A,2007-07-17,9999-12-31,ES4281862429806279266449
488,488,6104,0582,081,202216910,A,2004-10-22,9999-12-31,ES9161040582081202216910
489,489,4636,4805,949,539352812,B,2007-10-07,2010-02-04,ES7746364805949539352812
490,490,4056,5652,293,228376614,B,2002-04-26,2007-03-10,ES4640565652293228376614
491,491,2597,8256,753,694963175,A,2022-06-24,9999-12-31,ES1025978256753694963175
492,492,3845,2988,363,931396572,A,2007-12-20,9999-12-31,ES9538452988363931396572
493,493,7244,6871,937,185361800,B,2002-09-14,2021-08-21,ES2472446871937185361800
494,494,2681,3308,595,141037219,B,2009-12-21,2019-02-13,ES0526813308595141037219
495,495,8343,6329,699,385746674,A,2019-09-11,9999-12-31,ES7283436329699385746674
496,496,6358,9294,457,804539933,B,2001-01-30,2003-04-13,ES6163589294457804539933
497,497,0730,1465,441,734427490,A,2016-12-19,9999-12-31,ES5107301465441734427490
498,498,1025,3775,389,229297601,B,2016-10-07,2020-06-22,ES1110253775389229297601
499,499,0617,1400,269,436986348,A,2020-12-29,9999-12-31,ES2706171400269436986348
500,500,3985,7275,200,250312869,A,2012-10-12,9999-12-31,ES8639857275200250312869
501,501,5390,3269,086,218727958,A,2017-03-13,9999-12-31,ES5153903269086218727958
502,502,5842,0946,900,339109213,B,2009-07-02,2021-09-26,ES4258420946900339109213
503,503,5185,3536,717,450057342,B,2013-06-25,2016-04-27,ES3651853536717450057342
504,504,3550,4263,258,530582898,B,2004-02-18,2020-03-23,ES6235504263258530582898
505,505,7029,9260,545,565976333,A,2016-05-01,9999-12-31,ES0970299260545565976333
506,506,6418,9886,639,617985567,A,2017-04-14,9999-12-31,ES4864189886639617985567
507,507,3635,5286,452,227212793,B,2011-09-29,2021-02-11,ES2036355286452227212793
508,508,4052,7146,810,080799284,B,2009-12-08,2020-08-05,ES7340527146810080799284
509,509,0580,7598,477,538451354,A,2015-08-20,9999-12-31,ES7505807598477538451354
510,510,8701,5617,263,822552180,A,2008-03-26,9999-12-31,ES2687015617263822552180
511,511,6525,0415,568,444943831,A,2016-04-29,9999-12-31,ES1565250415568444943831
512,512,3748,4997,964,378257666,A,2005-01-14,9999-12-31,ES4537484997964378257666
513,513,9739,7033,526,934468406,A,2021-08-07,9999-12-31,ES3197397033526934468406
514,514,0141,1012,489,263738162,B,2015-10-12,2019-12-22,ES7501411012489263738162
515,515,8711,5002,216,986999847,A,2006-01-21,9999-12-31,ES8787115002216986999847
516,516,6466,3823,150,942824156,A,2001-05-30,9999-12-31,ES2464663823150942824156
517,517,0119,6867,574,218043385,B,2009-03-17,2021-07-14,ES6101196867574218043385
518,518,8288,9418,209,309786245,B,2018-09-21,2021-12-22,ES5582889418209309786245
519,519,5432,1465,701,556152916,A,2003-02-01,9999-12-31,ES6054321465701556152916
520,520,5797,0152,513,100078574,A,2013-08-14,9999-12-31,ES6457970152513100078574
521,521,4339,4785,762,552521543,A,2022-04-28,9999-12-31,ES3743394785762552521543
522,522,4706,9175,862,860877575,A,2017-01-25,9999-12-31,ES9847069175862860877575
523,523,6740,0118,705,820608104,A,2010-08-20,9999-12-31,ES6467400118705820608104
524,524,0147,3890,384,893179741,B,2016-11-08,2020-10-08,ES3201473890384893179741
525,525,2686,9264,785,499434015,B,2008-10-27,2021-09-13,ES9026869264785499434015
526,526,6357,5361,228,480108509,A,2000-12-26,9999-12-31,ES8363575361228480108509
527,527,7465,4081,101,409081824,B,2020-10-30,2021-05-02,ES0274654081101409081824
528,528,0362,3156,979,413482073,B,2015-05-11,2022-05-11,ES4903623156979413482073
529,529,1133,4970,579,391477607,B,2002-12-14,2019-07-28,ES4111334970579391477607
530,530,5324,5156,199,650216393,B,2006-05-20,2006-07-26,ES4353245156199650216393
531,531,1007,1267,204,125421912,B,2019-12-23,2021-05-25,ES3010071267204125421912
532,532,8472,2179,126,315248475,A,2005-10-31,9999-12-31,ES0884722179126315248475
533,533,1804,0904,732,996801361,B,2012-06-19,2013-11-26,ES2118040904732996801361
534,534,7202,6682,984,029305328,A,2007-09-27,9999-12-31,ES1072026682984029305328
535,535,1265,2509,106,092585785,B,2011-01-31,2016-06-30,ES5712652509106092585785
536,536,1375,3310,168,038964378,B,2005-08-31,2007-11-09,ES7913753310168038964378
537,537,7314,1468,222,044609106,B,2021-06-30,2022-02-21,ES2273141468222044609106
538,538,4326,1652,527,230243335,A,2009-11-05,9999-12-31,ES6643261652527230243335
539,539,4439,5956,992,324342123,A,2010-04-01,9999-12-31,ES6444395956992324342123
540,540,2847,6839,723,613826385,B,2009-07-03,2016-05-18,ES0428476839723613826385
541,541,6472,0908,875,389613011,B,2009-11-20,2016-05-26,ES3164720908875389613011
542,542,0680,0261,893,962286885,B,2013-05-10,2014-05-08,ES3606800261893962286885
543,543,8133,6427,845,144817241,A,2016-09-03,9999-12-31,ES0881336427845144817241
544,544,2288,5222,463,032971528,B,2017-09-15,2018-05-12,ES2222885222463032971528
545,545,4782,3681,973,629576893,B,2006-08-18,2009-04-26,ES8547823681973629576893
546,546,4299,0696,372,686099918,B,2007-10-12,2015-10-09,ES8242990696372686099918
547,547,5021,2056,592,869834506,B,2004-07-19,2021-06-27,ES5750212056592869834506
548,548,0745,8010,030,630562875,A,2014-11-28,9999-12-31,ES2407458010030630562875
549,549,1092,1572,148,908098043,B,2014-08-12,2014-09-29,ES0310921572148908098043
550,550,8083,7838,614,369150021,B,2018-10-04,2020-07-11,ES5480837838614369150021
551,551,8352,1730,974,485194281,B,2016-08-05,2021-06-07,ES8583521730974485194281
552,552,1553,3764,028,860980444,B,2020-02-03,2021-09-12,ES6215533764028860980444
553,553,5433,8008,832,163973856,B,2009-09-18,2021-06-15,ES7054338008832163973856
554,554,9070,0676,390,346721763,A,2011-01-06,9999-12-31,ES5790700676390346721763
555,555,0806,3034,653,337497326,B,2004-05-15,2020-10-09,ES7208063034653337497326
556,556,3299,4823,284,936238873,B,2012-06-03,2014-04-08,ES6932994823284936238873
557,557,2909,7611,132,108842555,B,2011-08-24,2016-12-03,ES2829097611132108842555
558,558,9020,1176,409,098779855,B,2005-12-14,2020-03-01,ES7790201176409098779855
559,559,2326,4680,910,728959421,A,2020-03-05,9999-12-31,ES5723264680910728959421
560,560,3629,2965,910,654016446,B,2007-05-04,2013-10-17,ES0436292965910654016446
561,561,3767,8825,116,931551852,A,2009-11-21,9999-12-31,ES7837678825116931551852
562,562,3327,9056,335,213541497,B,2004-07-17,2021-10-13,ES0833279056335213541497
563,563,9936,1496,931,321250095,B,2001-10-25,2004-07-13,ES9399361496931321250095
564,564,0774,2534,358,566876941,A,2019-09-11,9999-12-31,ES5207742534358566876941
565,565,8400,9305,743,753864542,A,2005-10-01,9999-12-31,ES7584009305743753864542
566,566,6942,1448,701,705703545,A,2017-04-05,9999-12-31,ES3669421448701705703545
567,567,6558,9403,055,392023317,B,2012-04-06,2014-01-16,ES2665589403055392023317
568,568,3664,3657,518,544486511,A,2019-03-14,9999-12-31,ES7936643657518544486511
569,569,5932,8315,883,567178685,B,2021-08-17,2021-12-05,ES7659328315883567178685
570,570,1041,2756,340,974379320,B,2022-07-05,2022-07-05,ES1310412756340974379320
571,571,7519,5712,136,370317557,A,2011-10-14,9999-12-31,ES0875195712136370317557
572,572,6861,6315,965,366923284,B,2001-10-17,2011-07-11,ES4468616315965366923284
573,573,2484,6685,356,153249163,B,2020-04-13,2021-07-22,ES3024846685356153249163
574,574,5716,1596,390,582198408,A,2012-08-04,9999-12-31,ES3757161596390582198408
575,575,5454,5649,360,296610677,A,2004-11-05,9999-12-31,ES2254545649360296610677
576,576,0149,8539,919,292521146,B,2006-04-22,2016-06-20,ES5601498539919292521146
577,577,8384,9519,366,775995202,A,2013-09-21,9999-12-31,ES8083849519366775995202
578,578,3719,3538,305,313444080,B,2002-03-01,2005-12-21,ES3937193538305313444080
579,579,3805,7175,914,501436287,B,2018-07-05,2019-01-23,ES9238057175914501436287
580,580,8514,8835,317,226580666,A,2001-05-22,9999-12-31,ES9185148835317226580666
581,581,4132,0753,272,368095844,A,2018-12-09,9999-12-31,ES8741320753272368095844
582,582,0978,6956,537,988854185,A,2010-03-15,9999-12-31,ES2309786956537988854185
583,583,0164,4546,400,051288720,A,2004-10-14,9999-12-31,ES2801644546400051288720
584,584,3798,2810,668,880754182,A,2019-01-08,9999-12-31,ES2737982810668880754182
585,585,0733,9201,408,777623044,A,2006-09-23,9999-12-31,ES3507339201408777623044
586,586,7882,5816,330,728237049,B,2007-12-27,2013-02-24,ES9878825816330728237049
587,587,3622,1078,739,865111034,B,2019-11-04,2022-04-25,ES1636221078739865111034
588,588,3307,1979,286,816572879,B,2012-11-01,2015-08-11,ES2733071979286816572879
589,589,6834,8098,611,545937231,A,2014-04-04,9999-12-31,ES2668348098611545937231
590,590,0211,8952,244,723631028,A,2016-12-26,9999-12-31,ES9002118952244723631028
591,591,8527,2586,373,889271642,B,2018-09-09,2021-11-13,ES4585272586373889271642
592,592,9034,9541,918,021938966,B,2021-03-04,2021-07-26,ES9890349541918021938966
593,593,5973,9053,281,927401445,B,2007-08-09,2014-12-29,ES4259739053281927401445
594,594,0053,2489,588,484277671,B,2022-05-12,2022-05-23,ES3200532489588484277671
595,595,9435,6458,737,182569341,B,2010-07-27,2018-11-04,ES6694356458737182569341
596,596,4901,8649,614,573009343,A,2007-05-13,9999-12-31,ES1849018649614573009343
597,597,0246,3488,010,343273482,A,2019-09-06,9999-12-31,ES7902463488010343273482
598,598,8057,4422,426,069775952,A,2021-01-27,9999-12-31,ES1680574422426069775952
599,599,6835,0346,118,190658531,B,2008-04-15,2020-12-29,ES6468350346118190658531
600,600,1504,9950,453,889381993,B,2018-02-16,2020-09-05,ES4715049950453889381993
601,601,5585,6264,206,886224797,B,2008-12-23,2011-01-04,ES3955856264206886224797
602,602,4079,2456,040,288313808,B,2021-04-16,2022-03-26,ES4740792456040288313808
603,603,2438,7238,064,466670212,A,2005-08-18,9999-12-31,ES6724387238064466670212
604,604,7811,4751,353,359093144,A,2015-02-10,9999-12-31,ES0478114751353359093144
605,605,4277,6307,256,354828727,A,2008-06-04,9999-12-31,ES8442776307256354828727
606,606,4112,6359,822,033014625,A,2020-07-26,9999-12-31,ES2741126359822033014625
607,607,5272,9475,241,848477533,B,2006-10-16,2021-05-26,ES0552729475241848477533
608,608,4184,4896,852,878916272,B,2005-06-13,2014-04-29,ES6541844896852878916272
609,609,5293,7934,678,946622488,A,2008-04-06,9999-12-31,ES9752937934678946622488
610,610,4229,3553,927,056516742,B,2016-05-28,2019-04-30,ES5942293553927056516742
611,611,8351,9948,730,761196989,A,2016-03-25,9999-12-31,ES0683519948730761196989
612,612,6122,7297,425,372005550,A,2022-02-15,9999-12-31,ES0661227297425372005550
613,613,9670,7450,280,345484097,A,2012-09-30,9999-12-31,ES6196707450280345484097
614,614,1730,5383,171,086426284,B,2007-07-27,2015-04-15,ES8717305383171086426284
615,615,6267,3284,302,364955901,A,2004-11-22,9999-12-31,ES2162673284302364955901
616,616,0011,3569,390,988862126,A,2000-12-06,9999-12-31,ES9100113569390988862126
617,617,4646,8646,319,406973715,A,2008-11-06,9999-12-31,ES1546468646319406973715
618,618,7375,4185,928,534841482,A,2002-06-27,9999-12-31,ES4973754185928534841482
619,619,3363,1623,430,580502867,A,2016-11-14,9999-12-31,ES2033631623430580502867
620,620,5766,2613,573,384107951,B,2009-12-12,2021-07-04,ES2857662613573384107951
621,621,2557,6971,619,163579367,B,2007-01-26,2019-05-04,ES4525576971619163579367
622,622,7206,0593,601,931919197,A,2005-08-16,9999-12-31,ES8472060593601931919197
623,623,3966,9485,018,243099851,B,2010-10-17,2011-10-30,ES7439669485018243099851
624,624,2746,7131,588,938022059,B,2008-06-27,2016-01-18,ES7927467131588938022059
625,625,1098,5747,283,746366683,B,2010-04-20,2015-06-17,ES5910985747283746366683
626,626,3122,9950,637,360724846,B,2018-06-02,2021-05-24,ES4731229950637360724846
627,627,1738,6263,638,902119352,A,2009-01-21,9999-12-31,ES8017386263638902119352
628,628,6761,5792,983,678128402,A,2012-04-19,9999-12-31,ES7167615792983678128402
629,629,4983,1832,837,625104339,B,2010-11-07,2020-04-18,ES3749831832837625104339
630,630,5927,2242,982,700786940,B,2017-04-04,2018-11-24,ES6159272242982700786940
631,631,9059,7034,546,221303844,B,2006-01-17,2020-03-01,ES8090597034546221303844
632,632,3216,5693,265,857018451,A,2001-09-27,9999-12-31,ES9432165693265857018451
633,633,6043,3100,439,478069474,A,2011-10-20,9999-12-31,ES8460433100439478069474
634,634,4077,7520,209,017619992,A,2013-06-12,9999-12-31,ES4540777520209017619992
635,635,9055,9380,808,059608349,A,2014-04-21,9999-12-31,ES1790559380808059608349
636,636,1904,7904,530,609989030,B,2007-10-07,2011-02-17,ES1919047904530609989030
637,637,6637,2128,162,608260218,B,2021-09-10,2022-03-30,ES4066372128162608260218
638,638,3845,0188,790,264234904,B,2012-03-21,2016-09-26,ES1438450188790264234904
639,639,0674,9892,909,150908835,A,2012-10-14,9999-12-31,ES2506749892909150908835
640,640,3290,1193,958,787939872,B,2003-09-04,2015-05-08,ES3332901193958787939872
641,641,6928,8356,376,814047169,A,2006-05-30,9999-12-31,ES8769288356376814047169
642,642,9193,2601,029,080324799,A,2019-05-02,9999-12-31,ES3691932601029080324799
643,643,7861,9556,934,263740345,B,2010-03-12,2020-07-09,ES6478619556934263740345
644,644,8552,3360,511,075535933,A,2022-04-27,9999-12-31,ES8685523360511075535933
645,645,5853,5623,081,478488073,A,2016-12-31,9999-12-31,ES7358535623081478488073
646,646,0547,2952,463,672510403,B,2015-04-15,2017-01-03,ES2005472952463672510403
647,647,1669,7891,974,313035776,A,2000-11-15,9999-12-31,ES0316697891974313035776
